AscendOS - Hardware Requirements by Seat Count
Hardware specification only. Three deployment options: Managed platform (Render), Raw VPS (Hetzner), Serverless (Google Cloud Run).
Usage: Code Compass 15-20 searches per seat per working day. Code Inspector 5-7 scans per user per working day.
Hardware columns are sized on the HIGH end of that range. Peak hour sized at 3x the daily average.
Totals include the search index host, which becomes its own machine past a threshold.

Code Compass only
Every seat runs 15–20 Code Compass searches per working day.
Seats,Peak concurrent jobs (low usage),Peak concurrent jobs (high usage),vCPU required (high),App RAM required GB (high),Search index RAM GB,Search index disk GB,MANAGED: web instances,MANAGED: index host,MANAGED: total machines,MANAGED: total vCPU,MANAGED: total RAM GB,VPS: web servers,VPS: index host,VPS: total machines,VPS: total vCPU,VPS: total RAM GB,SERVERLESS: peak instances,SERVERLESS: warm instances,SERVERLESS: peak vCPU,SERVERLESS: peak RAM GB,SERVERLESS: search index
260,10.60,14.52,4.71,6.28,1.55,3,"Standard x5","Pro x1",6,7,14,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
280,10.98,15.02,4.86,6.46,1.62,3,"Standard x5","Pro x1",6,7,14,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
300,11.35,15.52,5.01,6.63,1.73,3,"Standard x6","Pro x1",7,8,16,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
320,11.73,16.02,5.16,6.81,1.81,3,"Standard x6","Pro x1",7,8,16,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
340,12.10,16.52,5.31,6.98,1.92,3,"Standard x6","Pro x1",7,8,16,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
360,12.48,17.02,5.46,7.16,1.99,3,"Standard x6","Pro x1",7,8,16,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
380,12.85,17.52,5.61,7.33,2.10,3,"Standard x6","Pro x1",7,8,16,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
400,13.23,18.02,5.76,7.51,2.18,3,"Standard x6","Pro x1",7,8,16,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
420,13.60,18.52,5.91,7.68,2.29,3,"Standard x6","Pro x1",7,8,16,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
440,13.98,19.02,6.06,7.86,2.36,4,"Standard x7","Pro x1",8,9,18,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
460,14.35,19.52,6.21,8.03,2.47,4,"Standard x7","Pro x1",8,9,18,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
480,14.73,20.02,6.36,8.21,2.55,4,"Standard x7","Pro x1",8,9,18,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
500,15.10,20.52,6.51,8.38,2.66,4,"Standard x7","Pro x1",8,9,18,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
520,15.48,21.02,6.66,8.56,2.73,4,"Standard x7","Pro x1",8,9,18,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
540,15.85,21.52,6.81,8.73,2.84,4,"Standard x7","Pro x1",8,9,18,"CX43 x1","CX23 x1",2,10,20,1,1,1,2,"managed service"
